RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
202473,"Vegan Green Garden Puree (For Pizza, Lasagna or Pasta)",237123,VegSocialWorker,PT15M,PT15M,PT30M,2006-12-30T15:56:00Z,"From Vegan with a Vengeance by Isa Chandra Moskowitz.  I just received this gem of a cookbook for Christmas.  We made this puree as a stuffing for lasagna last night and it was really good.  Used whole wheat pasta, the puree, tomato sauce, spinach and mushrooms.  Yum, yum, yum.  Thought I'd share this recipe with you all.  It takes the place of ricotta cheese in any type of pizza or pasta recipe.  And it rocks!  We left out the parsley because I forgot to buy it, and it was still a nice green color.  Enjoy.",character(0),Vegetable,"c(""Lactose Free"", ""Vegan"", ""Low Cholesterol"", ""Egg Free"", ""Healthy"", ""Free Of..."", ""< 30 Mins"", ""Small Appliance"")","c(""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""4"", ""2"", ""1/2"", ""1/8"", ""1"", ""1"")","c(""asparagus"", ""green beans"", ""garlic cloves"", ""flat leaf parsley"", ""scallions"", ""extra virgin olive oil"", ""nutmeg"", ""extra firm tofu"", ""basil leaves"")",NA,NA,268.9,17.3,2.1,0,59.4,19.3,9.1,5.1,15.4,NA,6 cups,"c(""Have ready a large bowl of ice water."", ""Bring a large pot of salted water to a boil."", ""Add the asparagus and green beans; boil for 2 minutes.  Add the frozen peas and boil for 2 more minutes."", ""Drain vegetables and submerge in the ice water to stop the cooking."", ""Pulse the almonds to a fine powder.  I used the blender for this."", ""Add the vegetables, garlic, parsley, scallions, olive oil, lemon juice, and nutmeg; puree until smooth."", ""Note: My blender could not accommodate all of the ingredients so I needed to puree in batches.  I also had to add some water otherwise it would not blend.  All together I added about 1/2 cup of water and it was not too runny in the end."", 
""In a large bowl, mash the tofu with your hands until it has a ricotta-like consistency.  I used a hand held immersion blender for this and it worked beautifully."", ""Add the puree and mix well."", ""Fold in the basil."", ""Cover and refrigerate until ready to use."")"
202474,Paglia E Fieno,322548,PinkCherryBlossom,PT10M,PT10M,PT20M,2006-12-30T15:57:00Z,The English translation for this is &quot;straw and hay&quot; It refers to the colours of the pasta when mixed together don't worry about finding green and white pasta if you can't just use white.,character(0),One Dish Meal,"c(""Vegetable"", ""European"", ""< 30 Mins"")","c(""60"", ""450"", ""200"", ""450"", ""1"", ""60"", ""1"")","c(""butter"", ""fresh peas"", ""tagliatelle pasta noodles"", ""olive oil"", ""parmesan cheese"", ""nutmeg"")",NA,NA,900.6,44.1,23.9,209.6,363.9,98.5,9.5,8.7,29,4,NA,"c(""Melt the butter in a saucepan and add the peas. Cook on a low heat for 2 - 3 minutes."", ""Add 150ml of the cream to the pan, bring to the boil and simmer for 1 - 1 1/2 minutes Remove from heat."", ""Bring a pan of water to the boil and add the olive oil. Cook the pasta until al dente. drain and return to the pan."", ""Add the sauce to the pasta and return to the heat. Stir in the remaining cream and ensure the peas are hot."", ""Stir through the parmesan, season if desired and serve."")"
202475,Gnocchi Romana,322548,PinkCherryBlossom,PT45M,PT1H15M,PT2H,2006-12-30T15:57:00Z,"This is a traditional Italian recipe but is very rich, serve it as a side. For a less rich version omit the eggs.",character(0),European,"c(""High In..."", ""< 4 Hours"")","c(""700"", ""1"", ""90"", ""225"", ""125"", ""2"", ""60"")","c(""milk"", ""nutmeg"", ""butter"", ""semolina"", ""parmesan cheese"", ""eggs"", ""gruyere cheese"")",5,1,705.7,41.3,24.5,221.8,776.3,50.5,2.2,0.6,32.6,4,NA,"c(""Pour the milk into a pan and bring to the boil. remove from the heat and add the nutmeg, 25g of the butter and seasoning if desired."", ""Gradually stir the semolina into the milk whisking out any lumps. Return to a low heat and simmer for 10 minutes."", ""Beat half the parmesan into the semolina followed by the eggs until smooth."", ""Spread the semolina on a sheet of baking parchment or oiled tray. Smooth the surface so it is 1/2 inch thick. Allow to cool then  chill in the refrigerator for 1 hour."", 
""Once chilled use a cookie cutter to cut circles out of the semolina dough."", ""Grease a shallow ovenproof dish and lay any trimmings from the semolina in the bottom. Lay the circles in an overlapping fashion until used up."", ""Melt the remaining butter and pour over the gnocchi. Sprinkle with the cheeses."", ""Bake for 30 mins at 200C/400F."")"
202476,Puff Pastry Toasted Sandwiches in Your Sandwich Maker!,102058,kiwidutch,PT10M,PT10M,PT20M,2006-12-30T15:57:00Z,"My Zaar friend Kooka suggested making a toasted sandwich without the toast ! I got curious, played around with her idea and et Voila! she told me to post the recipe.
Ok, healthy.. not really... yummy... sure is!
Puff pastry here in the Netherlands is a pest to use in regular large pies becuase it comes in a box of 10 small individual squares. think jig-saw pieces then you want to make a large pie, and it usually takes me less time to make and roll my own... but my small ready made squares are PERFECT for this recipe.. if you are lucky enough to be able to buy ready made puff pastry in one big piece you will need to cut it up to fit.
COMFORT FOOD... the fillings are as endless as peoples' personal taste.. but things that cook quick, yes? I used three Knackworstjes but the Zaar database doesn't recognise those so Smokies (mini knackworstjes) are the closest description I can get.
In Honour of Kooka's idea I dedicate this to ZWT REGION: Australia.","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/24/76/pictarK7k.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/24/76/picPQjFSH.jpg"")",Lunch/Snacks,"c(""Cheese"", ""Australian"", ""Kid Friendly"", ""< 30 Mins"", ""Beginner Cook"", ""Easy"")","c(""1"", ""50"", ""25"", ""5"", NA, NA, ""1"", NA, NA, NA, NA, NA)","c(""puff pastry"", ""cheese"", ""butter"", ""spring onion"", ""chives"", ""egg"", ""tomatoes"", ""ham"", ""mashed potatoes"", ""onion"")",5,5,1202.4,94,34.9,215.1,1692.9,59.7,1.8,2.6,30.3,NA,2 sandwiches,"c(""Melt the butter and spread on the toasted sandwich maker inside top and bottom cooking plates."", ""Cut thawed pastry to the same size that the bread would usually be and place one piece on the bottom of the sandwich maker top with grated cheese and extra fillings of your choice. Top with another piece of pastry."", ""Repeat with the other side of the toasted sandwich maker to fill up the other side."", ""Close the sandwich maker to seal the pastry together and enclose the filling."", ""Cook until pastry is golden brown and cooked (about 10 minutes)."", 
""Trim off any uncooked pastry (I had a little bit but it was only a thin sliver)."")"
202477,Barefoot Contessa's Tequila Lime Chicken,67103,Juenessa,PT20M,PT20M,PT40M,2006-12-30T15:57:00Z,"Adapted from Barefoot Contessa Family Style cookbook, 2002.  Ina's recipe calls for 1/2 cup of tequila and our family thinks the tequila flavor is a little too strong, so have decreased the tequila to 1/4 cup.",character(0),Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""< 60 Mins"")","c(""1/4"", ""1"", ""1/2"", ""1"", ""1"", ""1  - 1 1/2"", ""3"", ""2"", ""1"", ""6"")","c(""lime juice"", ""chili powder"", ""cilantro"", ""garlic cloves"", ""kosher salt"", ""fresh ground black pepper"", ""boneless chicken breasts"")",5,2,276.3,13.7,3.9,92.8,686.9,7.1,0.8,2.6,30.9,6,NA,"c(""Combine the tequila, lime juice, orange juice, chili powder, minced cilantro, jalapeno pepper, garlic, salt, and pepper in a large bowl."", ""Add the chicken breasts."", ""Refrigerate overnight (or at LEAST 8 hours!)."", ""The next day, heat your grill and brush the rack with oil to prevent the chicken from sticking."", ""Remove chicken breasts from the marinade, sprinkle well with salt and pepper, and grill them skin-side down for about 5 minutes, until nicely browned."", ""Turn the chicken and cook for another 10 minutes, until just cooked through."", 
""Remove from grill to a plate."", ""Cover tightly and let rest for 5 minutes."", ""Serve hot or at room temperature."", ""*Ina uses Cuervo Gold tequila."", ""** She also says there is NO substitute for freshly squeezed lime juice."", ""***Cook time does not include marinating the chicken overnight."")"
202478,Spicy Pulled Pork,107823,Zanna_409104061,PT6H,PT15M,PT6H15M,2006-12-30T15:58:00Z,Make and share this Spicy Pulled Pork recipe from Food.com.,character(0),Stew,"c(""Pork"", ""Meat"")","c(""1"", ""1"", ""2 3/4"", ""1"", ""1"", ""1"", ""1"", ""2"", NA)","c(""crushed tomatoes"", ""tomatoes in puree"", ""boneless pork shoulder"", ""dried oregano"", ""adobo sauce"", ""chipotle chile in adobo"", ""onion"", ""bay leaves"")",NA,NA,426.5,31.7,10.9,110.8,319.2,7.7,1.6,4.2,27,8,NA,"c(""In a 5 quart slow cooker, combine all ingredients except pork."", ""Add pork, toss to coat."", ""Cover, cook on high setting until meat is pull-apart tender, about 6 hours."", ""Transfer meat to a large bowl, shred pork with forks."", ""Return meat to pot, stir well."", ""Serve with tortillas and shredded cheese, or whatever kind of bread you like."")"
202479,Kung Pao Shrimp,114882,marisk,NA,PT30M,PT30M,2006-12-30T15:58:00Z,I haven't tried this recipe yet but I've tasted PF Chang's Kung Pao Shrimp at their restaurant served over a crispy white noodle.  It was to die for.  I'm hoping this recipe will be as good as the original.,character(0),< 30 Mins,NA,"c(""2"", ""12"", ""2"", ""32"", ""4"", ""20"", NA)","c(""garlic"", ""shrimp"", ""green onions"", ""chilies"")",NA,NA,345.4,4.6,0.8,361.8,368.6,24.2,3.5,11.6,53,4,NA,"c(""Heat wok (smoking), introduce oil and shrimp, separate and velvet for 1 to 2 minutes. Do not overcook."", ""Carefully pour shrimp and oil onto oil skimmer."", ""Stir fry chile pods and onions."", ""Add garlic and Kung Pao sauce."", ""Add shrimp, toss."", ""Add peanuts and chile flakes."")"
202480,Bacon Spinach and Cream Potatoes,105298,kdsale,PT15M,PT15M,PT30M,2006-12-30T15:58:00Z,Make and share this Bacon Spinach and Cream Potatoes recipe from Food.com.,character(0),Pork,"c(""Potato"", ""Vegetable"", ""Meat"", ""Low Protein"", ""< 30 Mins"", ""Beginner Cook"", ""Easy"")","c(""3"", ""1"", ""4"", ""1"", ""2"", NA, NA, ""1/4"")","c(""idaho potatoes"", ""onion"", ""bacon"", ""frozen spinach"", ""extra virgin olive oil"", ""nutmeg"")",5,1,393.8,20,10.3,54.5,215.2,46.4,7.8,3.3,10.7,NA,NA,"c(""Dice potatoes, place in pot and cover with water."", ""Bring to a boil, add salt to water."", ""Cook until tender (10-15 min.)."", ""In a small skillet over medium heat, add bacon and brown (7-8 minutes)."", ""Add onions, cook until soft (5 more minutes)."", ""Drain potatoes and return to pot."", ""Add bacon and onions, and defrosted/drained spinach; mash to combine."", ""Add cream and EVOO; mash until smooth."", ""Add salt, pepper, and nutmeg."", ""Enjoy."")"
202481,Wonder Salad,114882,marisk,NA,PT45M,PT45M,2006-12-30T15:58:00Z,Make and share this Wonder Salad recipe from Food.com.,character(0),Low Protein,"""< 60 Mins""","c(""16"", ""16"", ""12"", ""12"", ""4"", ""6"", ""12"", ""8"", ""8"", ""12"", ""24"", ""16"", ""80"")","c(""feta cheese"", ""provolone cheese"", ""mortadella"", ""black olives"", ""green olives"", ""red onions"", ""cucumbers"", ""roma tomatoes"", ""romaine lettuce"")",NA,NA,6386.2,587.9,118.7,192.4,25674.9,251.1,20.3,179.7,67.9,4,NA,"c(""Place the greens, tomatoes, onions, and cucumbers in a mixing bowl. Add the dressing and toss well.  Mound onto a plate."", ""Lay mortadella across one side of the salad and the pepperoni across the other."", ""Spread diced provolone over the top."", ""Place roasted peppers over the provolone cheese."", ""Place crumbled feta over the peppers."", ""Place pepperoncini over the top."", ""Place the black olives on each end of the plate and the green olives on the sides and serve."")"
202482,Eastern Chicken Gravy With Rice,69927,Annie H,PT20M,PT15M,PT35M,2006-12-30T15:58:00Z,"This is just something I threw together.  My daughter wasn't too fond of it but I liked it enough to write it down, which don't happen too often, folks.",character(0),Chicken Thigh & Leg,"c(""Chicken"", ""Poultry"", ""Meat"", ""< 60 Mins"", ""Easy"")","c(""1"", ""1"", ""2"", NA, ""1"", ""6"", ""2"", ""1"", ""1"", ""2"", ""1"", ""2"", ""4"")","c(""butter"", ""water"", ""boneless skinless chicken thighs"", ""fresh garlic cloves"", ""curry"", ""paprika"", ""flour"", ""coconut milk"", ""basmati rice"", ""water"")",NA,NA,456,15.5,10.1,62.4,109.4,58.6,4.5,5.3,21.7,6,NA,"c(""On medium heat, begin warming skillet with butter."", ""Chop onions, drain mushrooms (reserve liquid), and crush garlic.  Add onions and mushrooms to skillet, lightly salt and generously pepper them and sautee until they all start to brown."", ""Add the reserved mushroom liquid and 1 cup of water.  Stir about to deglaze the pan.  Add the chicken, cover with the veggies and some juices, and cover your skillet.  Turn heat to low and walk away for 20 minutes or until chicken is cooked through, flipping once during the cooking time."", 
""Remove chicken from the pan with a fork and allow to rest on a cutting board.  Scoot the veggies off to one side and add the flour to the side with the liquid and whisk like mad.  Once the flour is incorporated, add coconut milk and bring back to a simmer.  Dice the chicken into 1/2\"" chunks, add, and stir.  You can add more coconut milk or water to thin the gravy if you like.  Serve over basmati rice with a side of sweet potato fries and ignore your kids when they complain about the \""weird food\"" you cooked.  Explain to them that you're exposing them to \""culchah\"" (culture) and they'll one day thank you for it.  Now hush and eat your mushrooms."", 
""Oh, and be sure to start your rice before you start the gravy part."")"
202485,Mutt Meatballs,29621,seahorse73,PT20M,PT20M,PT40M,2006-12-30T15:59:00Z,Make and share this Mutt Meatballs recipe from Food.com.,character(0),Meat,"""< 60 Mins""","c(""1/2"", ""1/3"", ""1"", ""1/2"", ""1"", ""1"", ""1"")","c(""ground beef"", ""cheddar cheese"", ""carrot"", ""egg"", ""garlic"", ""tomato paste"")",NA,NA,36.6,2.2,1,16.9,27.8,1.5,0.1,0.2,2.7,NA,24 muttballs,"c(""Preheat oven to 350."", ""Combind all ingreadients and mix well."", ""Using a teaspoon make mini-size meatballs."", ""Place all the meatballs on a cookie sheet sprayed with a non sticking spray."", ""Bake for 15 to 20 minites."", ""Cool and eat a few, store the rest in refrigerator for later."")"
202487,Garlic Chicken Nuggets,84660,ShanH,PT10M,PT15M,PT25M,2006-12-30T15:59:00Z,This is my mothers recipe.  It is so good!  I have the world's pickiest child and even he will eat these over the dreaded 'golden arches'.  The baking powder makes them puff so they are crispy and airy.,character(0),Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""< 30 Mins"")","c(""1"", ""2"", ""1/2"", ""1"", ""1"", ""1"", ""1"", ""1/2"", ""1"")","c(""eggs"", ""milk"", ""flour"", ""baking powder"", ""onion powder"")",NA,NA,779.3,59.8,8.9,175.8,215.4,26.2,0.9,0.5,33.6,NA,NA,"c(""Heat oil in a skillet until hot enough to fry.  You can test with a bit of flour.  If it bubbles, it's ready."", ""Mix eggs and milk in a shallow dish."", ""Mix flour and spices in a shallow dish."", ""Roll chicken in flour, then egg, then flour again."", ""Fry in oil until golden brown."")"
